price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
850000000.0,2.0,28606,32767,5012932302,2,1,False,2017-11-17 15:35:00.000,90,60003760,10000002,30000142,0,
850000000.0,2.0,28606,32767,5012932542,2,1,False,2017-11-17 15:35:20.000,90,60003760,10000002,30000142,0,
850000000.0,2.0,28606,32767,5012932681,2,1,False,2017-11-17 15:35:35.000,90,60003760,10000002,30000142,0,
884899988.0,2.0,28606,32767,4994263397,2,1,False,2017-12-15 12:49:39.000,90,60003760,10000002,30000142,0,
884899988.62,1.0,28606,32767,4986155574,1,1,False,2017-11-19 09:29:14.000,90,60003760,10000002,30000142,0,
884899988.69,1.0,28606,32767,4973856523,1,1,False,2017-11-17 22:06:54.000,90,60003760,10000002,30000142,0,
884899988.92,1.0,28606,32767,4977809329,1,1,False,2017-11-17 22:06:43.000,90,60003760,10000002,30000142,0,
884899988.93,1.0,28606,32767,4986155697,1,1,False,2017-11-19 09:29:50.000,90,60003760,10000002,30000142,0,
884899988.95,1.0,28606,32767,4986155270,1,1,False,2017-11-17 19:33:23.000,90,60003760,10000002,30000142,0,
884899989.0,1.0,28606,32767,4992271012,1,1,False,2017-11-17 19:22:19.000,90,60003760,10000002,30000142,0,
884899989.95,1.0,28606,32767,4973715149,1,1,False,2017-11-19 09:29:36.000,90,60003760,10000002,30000142,0,
700555046.0,1.0,28606,-1,5034511743,1,1,True,2017-12-14 16:38:05.000,90,60003760,10000002,30000142,0,
700498989.0,1.0,28606,5,5035211519,2,1,True,2017-12-14 02:49:58.000,90,60003760,10000002,30000142,0,
687200122.23,1.0,28606,3,5036588407,1,1,True,2017-12-15 20:10:37.000,90,1026246891195,10000002,30000138,1,
687200122.13,1.0,28606,1,5034098145,1,1,True,2017-12-13 15:03:14.000,90,1023075604524,10000002,30000144,1,
687153006.18,1.0,28606,2,5031895776,1,1,True,2017-12-15 13:33:13.000,90,1022719559274,10000002,30000145,1,
687153000.0,1.0,28606,10,5032954657,1,1,True,2017-12-12 14:14:36.000,90,1023164547009,10000002,30000144,1,
686001001.36,3.0,28606,1,5031318495,3,1,True,2017-12-11 07:18:50.000,90,1023164547009,10000002,30000144,1,
686000020.0,1.0,28606,-1,4927403890,1,1,True,2017-12-10 21:18:28.000,90,60003760,10000002,30000142,0,
685152023.0,1.0,28606,32767,5024918346,3,1,True,2017-12-10 17:52:53.000,90,1023075604524,10000002,30000144,1,
680123123.0,2.0,28606,1,5030786921,2,1,True,2017-12-09 12:13:55.000,90,1025480678428,10000002,30000144,1,
679001001.04,1.0,28606,1,4983393592,1,1,True,2017-11-12 19:03:00.000,90,1022719559274,10000002,30000145,1,
679001001.03,1.0,28606,2,4985130011,2,1,True,2017-10-31 19:07:07.000,90,1023164547009,10000002,30000144,1,
679000000.02,2.0,28606,1,4964954558,2,1,True,2017-12-06 00:45:04.000,90,1023164547009,10000002,30000144,1,
676836080.01,1.0,28606,-1,4994021409,1,1,True,2017-10-25 23:25:25.000,90,60003760,10000002,30000142,0,
676836080.0,1.0,28606,-1,4989297337,1,1,True,2017-10-22 03:25:29.000,90,60003760,10000002,30000142,0,
676836079.15,2.0,28606,-1,4983433296,2,1,True,2017-10-12 18:05:27.000,90,60003760,10000002,30000142,0,
673255025.58,2.0,28606,10,5021767247,2,1,True,2017-12-09 09:36:43.000,90,1022719559274,10000002,30000145,1,
673255025.0,1.0,28606,10,5023915424,1,1,True,2017-12-08 17:02:46.000,90,1023164547009,10000002,30000144,1,
673252811.0,1.0,28606,10,4988675269,3,1,True,2017-12-07 18:45:11.000,90,1022719559274,10000002,30000145,1,
671256145.21,1.0,28606,32767,4983499323,1,1,True,2017-10-13 07:15:48.000,90,60003760,10000002,30000142,0,
650000000.01,1.0,28606,1,4964234929,1,1,True,2017-11-12 09:41:46.000,90,1025480678428,10000002,30000144,1,
650000000.0,1.0,28606,-1,4936000517,1,1,True,2017-09-21 02:12:13.000,90,60003760,10000002,30000142,0,
634110103.0,4.0,28606,10,4911768787,5,1,True,2017-09-30 00:46:20.000,90,1023164547009,10000002,30000144,1,
604020725.32,1.0,28606,-1,5032634226,1,1,True,2017-12-16 03:17:27.000,3,60003760,10000002,30000142,0,
600803915.71,1.0,28606,-1,5034846841,1,1,True,2017-12-15 16:20:07.000,1,60003760,10000002,30000142,0,
592482228.23,1.0,28606,-1,5031206499,1,1,True,2017-12-15 05:40:46.000,3,60003760,10000002,30000142,0,
590577539.02,1.0,28606,-1,5032742565,1,1,True,2017-12-15 05:54:23.000,3,60003760,10000002,30000142,0,
590375294.55,1.0,28606,-1,5030858638,1,1,True,2017-12-15 05:32:37.000,90,60003760,10000002,30000142,0,
500000000.0,1.0,28606,40,5025987204,1,1,True,2017-12-03 18:20:00.000,90,60003760,10000002,30000142,0,
100000000.0,1.0,28606,32767,5023079377,1,1,True,2017-11-30 01:06:13.000,90,1022719559274,10000002,30000145,1,
21500455.06,10.0,28606,1,5035526949,10,1,True,2017-12-14 14:25:25.000,90,1023164547009,10000002,30000144,1,
7879900.57,4.0,28606,-1,5010927556,4,2,True,2017-11-14 20:49:20.000,90,60003760,10000002,30000142,0,
1000000.0,10.0,28606,-1,5008954939,10,1,True,2017-11-12 13:13:39.000,90,60003760,10000002,30000142,0,
900009.98,1.0,28606,40,4697365108,1,1,True,2017-10-04 16:23:27.000,90,60003760,10000002,30000142,0,
865766.0,1.0,28606,40,5001413233,1,1,True,2017-11-03 20:17:22.000,90,60003760,10000002,30000142,0,
779999.99,10.0,28606,1,5008949163,10,1,True,2017-11-12 13:05:37.000,90,1025480678428,10000002,30000144,1,
773000.0,1.0,28606,-1,4989199570,1,1,True,2017-10-20 01:06:25.000,90,60003760,10000002,30000142,0,
10000.0,1.0,28606,3,4966180735,1,1,True,2017-09-20 20:42:08.000,90,60003760,10000002,30000142,0,
1.0,10.0,28606,40,5028144212,10,1,True,2017-12-06 11:54:54.000,90,60003760,10000002,30000142,0,
0.01,1000000.0,28606,32767,5002967249,1000000,1,True,2017-11-05 12:07:45.000,90,1021333527513,10000002,30000162,10,
